time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
7388,313,225.66,0.13,43,1726.5856185299997,320512,3120,0.28763512164799265,5.0684521378783264e-05,7996.67253112793,0.0014252133,0.0,0.0,1.0025489330291748,-0.0021807726836414075,-7.099937772750854,8773.18359375,,,
7432,314,226.46,0.12,43,1718.6991487599998,321536,3130,0.28763512164799265,5.0684521378783264e-05,10220.942565917969,0.00078648975,0.0,0.0,1.0032798051834106,-0.0015223037538817153,-7.104879778623581,10122.412109375,,,
7478,315,225.49,0.13,43,1747.61671733,322560,3140,0.28763512164799265,5.0684521378783264e-05,7336.771304321289,0.001088597,-1.0728836059570312e-06,0.0,1.003390908241272,-0.0019382843340281398,-7.107130232453346,7429.7314453125,,,
7524,316,225.49,0.13,43,1755.2518690099998,323584,3150,0.28763512164799265,5.0684521378783264e-05,12019.76856689453,0.0028144964,-5.960464477539062e-07,0.00048828125,1.0035309791564941,-0.005214532886748202,-7.1076167821884155,11867.8447265625,,,
7570,317,225.7,0.13,42,1788.1422715299998,324608,3160,0.28763512164799265,5.0684521378783264e-05,8565.42781677246,0.005153775,0.0,0.00029296875,1.0027145147323608,-0.005716761696385219,-7.1060556858778,7361.869140625,,,
7616,318,223.29,0.14,42,1759.0036318700002,325632,3170,0.28763512164799265,5.0684521378783264e-05,11762.847650146485,0.00077721593,2.980232238769531e-07,0.0,1.0021770000457764,-0.0011869746871525423,-7.102574223279953,12099.7978515625,,,
7662,319,222.44,0.15,42,1729.95451343,326656,3180,0.28763512164799265,5.0684521378783264e-05,4957.317852783203,0.0011373374,-2.384185791015625e-07,0.0,1.002791166305542,-0.0018109110853401944,-7.102414950728416,4652.95947265625,,,
7707,320,221.84,0.16,42,1716.5110368300002,327680,3190,0.28763512164799265,5.0684521378783264e-05,6130.783987426757,0.005996435,-2.384185791015625e-07,0.0041015625,1.0022989511489868,-0.005970172979868948,-7.10273784995079,4682.72119140625,,,
7756,321,224.58,0.14,42,1740.5083935,328704,3200,0.28763512164799265,5.0684521378783264e-05,6247.935119628906,0.0039580986,0.0,0.0001953125,1.0008206367492676,-0.003916656918590888,-7.097585037350655,6825.73828125,,,
7812,322,225.56,0.14,42,1752.3450038699998,329728,3210,0.28763512164799265,5.0684521378783264e-05,7390.150045776367,0.004005515,-3.5762786865234375e-07,0.0009765625,1.001678228378296,-0.004688936399179511,-7.095471498370171,7363.794921875,,,
