episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
121,1485.302104,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.13157597,0.39548832,0.8319461 ]"
122,418.613669,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.13859338,0.15792064,1.1731542 ]"
123,2902.197919,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.1421136, 0.5207637, 0.8544678]"
124,2120.596838,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.01428461,0.5134505 ,1.0229412 ]"
125,896.731035,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.17108832, 0.42079076, 1.1672082 ]"
126,483.636563,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.3323402 ,0.22052826,0.8523869 ]"
127,3479.64047,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.05126071, 0.550224  , 0.8900392 ]"
128,2197.833791,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.1013315, 0.446445 , 0.7458079]"
129,470.766854,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.34087083,0.25357765,0.9445715 ]"
130,1024.376648,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.10495809, 0.39291757, 1.1437172 ]"
131,859.390165,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.16977194,0.37478638,1.075506  ]"
132,2364.838091,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.09029067,0.52041763,0.8429083 ]"
133,888.48648,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.02109203,0.33128405,0.6189295 ]"
134,632.248378,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.19649462,0.29551613,1.1336229 ]"
135,1247.675175,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.10362291,0.40674937,0.6922783 ]"
136,1045.198175,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.04334392, 0.33095115, 0.64445525]"
137,2434.353498,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.01962451, 0.5060545 , 0.9991494 ]"
