rollout/ep_rew_mean,rollout/success_rate,train/ent_coef,train/critic_loss,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
1444.1517746299996,0.02,1.2499123513975974e-08,5.951126575469971,12404,-501.1806640625,245.59,255330,255431,2.4385865138709876e-05,20,1060,,,
1428.46250834,0.03,1.2499123513975974e-08,8.001562118530273,12446,-492.0002136230469,243.39,256110,256211,2.4385865138709876e-05,20,1064,,,
1410.3288228200001,0.03,1.2499123513975974e-08,7.056246757507324,12502,-494.526123046875,243.39,257110,257211,2.4385865138709876e-05,20,1068,,,
1413.1024490700001,0.03,1.2499123513975974e-08,5.17828369140625,12558,-492.6238098144531,243.39,258110,258211,2.4385865138709876e-05,20,1072,,,
1431.29608772,0.03,1.2499123513975974e-08,6.9459638595581055,12613,-511.4556579589844,243.39,259110,259211,2.4385865138709876e-05,20,1076,,,
1432.90208714,0.02,1.2499123513975974e-08,6.9610795974731445,12668,-494.1092529296875,245.34,260110,260211,2.4385865138709876e-05,20,1080,,,
1420.1848589899998,0.03,1.2499123513975974e-08,6.832003593444824,12712,-495.1571044921875,243.37,260913,261014,2.4385865138709876e-05,20,1084,,,
1419.7360337599998,0.03,1.2499123513975974e-08,7.0711822509765625,12768,-497.7733459472656,243.37,261913,262014,2.4385865138709876e-05,20,1088,,,
1394.4641076499997,0.03,1.2499123513975974e-08,6.836048126220703,12825,-499.26629638671875,243.37,262913,263014,2.4385865138709876e-05,20,1092,,,
1374.2110167899998,0.04,1.2499123513975974e-08,8.01434326171875,12867,-502.75604248046875,240.88,263664,263765,2.4385865138709876e-05,20,1096,,,
1343.02716808,0.04,1.2499123513975974e-08,6.940242767333984,12923,-489.8544921875,240.88,264664,264765,2.4385865138709876e-05,20,1100,,,
1382.6054198399997,0.03,1.2499123513975974e-08,7.04810094833374,12979,-515.5556030273438,243.34,265664,265765,2.4385865138709876e-05,20,1104,,,
1396.46464808,0.03,1.2499123513975974e-08,6.505404949188232,13035,-495.28607177734375,243.34,266664,266765,2.4385865138709876e-05,20,1108,,,
1377.01808173,0.03,1.2499123513975974e-08,1660.9453125,13093,-496.7361755371094,243.34,267664,267765,2.4385865138709876e-05,20,1112,,,
1401.3179812600001,0.03,1.2499123513975974e-08,6.514956474304199,13150,-507.0457458496094,243.34,268664,268765,2.4385865138709876e-05,20,1116,,,
1426.76422801,0.03,1.2499123513975974e-08,7.1457695960998535,13210,-504.5296325683594,243.34,269664,269765,2.4385865138709876e-05,20,1120,,,
1426.5841410200003,0.03,1.2499123513975974e-08,5.390993118286133,13267,-484.37005615234375,243.34,270664,270765,2.4385865138709876e-05,20,1124,,,
1403.59154504,0.03,1.2499123513975974e-08,6.878986835479736,13323,-501.8592834472656,243.34,271664,271765,2.4385865138709876e-05,20,1128,,,
1402.4530392499998,0.04,1.2499123513975974e-08,6.355090141296387,13367,-495.6861572265625,241.0,272430,272531,2.4385865138709876e-05,20,1132,,,
1394.0004331100001,0.05,1.2499123513975974e-08,7.76554012298584,13412,-492.9034423828125,239.09,273239,273340,2.4385865138709876e-05,20,1136,,,
1413.39566374,0.05,1.2499123513975974e-08,7.106049537658691,13469,-490.3453063964844,239.09,274239,274340,2.4385865138709876e-05,20,1140,,,
1427.3527654799996,0.05,1.2499123513975974e-08,8.015731811523438,13526,-501.6566467285156,239.09,275239,275340,2.4385865138709876e-05,20,1144,,,
1447.9042179700002,0.05,1.2499123513975974e-08,7.042016983032227,13583,-496.24578857421875,239.09,276239,276340,2.4385865138709876e-05,20,1148,,,
1438.7836363399997,0.05,1.2499123513975974e-08,7.995059013366699,13640,-504.14892578125,239.09,277239,277340,2.4385865138709876e-05,20,1152,,,
1416.5258091100002,0.05,1.2499123513975974e-08,6.63665771484375,13697,-498.60736083984375,239.09,278239,278340,2.4385865138709876e-05,20,1156,,,
1377.8098454899998,0.05,1.2499123513975974e-08,8.418548583984375,13754,-490.22174072265625,239.09,279239,279340,2.4385865138709876e-05,20,1160,,,
1397.90232391,0.04,1.2499123513975974e-08,9.399370193481445,13811,-492.73248291015625,241.29,280239,280340,2.4385865138709876e-05,20,1164,,,
1436.7724221700003,0.04,1.2499123513975974e-08,7.577369689941406,13867,-491.77423095703125,241.29,281239,281340,2.4385865138709876e-05,20,1168,,,
1426.15912849,0.04,1.2499123513975974e-08,7.613517761230469,13924,-498.7337341308594,241.29,282239,282340,2.4385865138709876e-05,20,1172,,,
1412.5848913299997,0.04,1.2499123513975974e-08,6.946713924407959,13981,-485.3393249511719,241.29,283239,283340,2.4385865138709876e-05,20,1176,,,
1442.0043019999998,0.04,1.2499123513975974e-08,6.145866394042969,14040,-488.4857482910156,241.29,284239,284340,2.4385865138709876e-05,20,1180,,,
1459.12412598,0.03,1.2499123513975974e-08,6.5122175216674805,14096,-495.36358642578125,243.26,285239,285340,2.4385865138709876e-05,20,1184,,,
1469.1420844599998,0.03,1.2499123513975974e-08,6.291032791137695,14155,-490.9442138671875,243.26,286239,286340,2.4385865138709876e-05,20,1188,,,
1468.6558966599998,0.03,1.2499123513975974e-08,5.053399085998535,14212,-511.20159912109375,243.26,287239,287340,2.4385865138709876e-05,20,1192,,,
1476.0664869299999,0.02,1.2499123513975974e-08,8.359430313110352,14269,-489.882080078125,245.75,288239,288340,2.4385865138709876e-05,20,1196,,,
1478.51319444,0.02,1.2499123513975974e-08,7.976251602172852,14326,-506.9706726074219,245.75,289239,289340,2.4385865138709876e-05,20,1200,,,
1479.5532549000002,0.02,1.2499123513975974e-08,6.388072967529297,14382,-488.9766845703125,245.75,290239,290340,2.4385865138709876e-05,20,1204,,,
1487.94959418,0.02,1.2499123513975974e-08,7.441596984863281,14439,-487.5697021484375,245.75,291239,291340,2.4385865138709876e-05,20,1208,,,
1516.8482291600003,0.02,1.2499123513975974e-08,8.461065292358398,14496,-479.17816162109375,245.75,292239,292340,2.4385865138709876e-05,20,1212,,,
1534.2918605200002,0.02,1.2499123513975974e-08,7.015332221984863,14553,-482.482421875,245.75,293239,293340,2.4385865138709876e-05,20,1216,,,
