#{"t_start": 1750435713.2216318, "env_id": "None"}
r,l,t
1.661284,235,1443.501444
-186.029393,250,1460.44885
-50.135445,250,1461.679014
23.752617,25,1461.793599
22.70573,48,1461.98605
18.207532,73,1462.491582
6.381522,117,1463.156909
25.306316,46,1463.415866
26.994469,17,1463.506683
-280.759891,240,1464.678553
-8.984636,58,1465.016088
1.045696,50,1465.337168
12.557774,97,1465.850464
24.766264,26,1465.992757
29.968071,23,1466.157454
16.348037,37,1466.401553
-52.046765,250,1467.778967
21.529065,54,1468.055153
-42.095846,250,1469.294408
-44.355367,250,1470.804431
28.165926,20,1470.908278
29.841654,24,1471.045489
20.656602,52,1486.903036
-17.792054,56,1487.238-91.29.106028,117,1487.89045-36.746061,250,1488.96204
-32.905793,250,1490.377141
22.641223,41,1490.569225
25.871929,23,1490.703814
15.432695,40,1490.9363362.26.407818,38,1491.136528-4.032724,250,1492.538832
20.880181,23,1492.675555
11.762932,149,1493.477237
13.86833,83,1493.954005
-38.255816,250,1495.284486
12.440183,58,1495.589901
26.000976,39,1495.809919
28.271276,10,1495.867858
21.193232,74,1496.269677
19.55256,47,1496.517528
-0.572273,35,1496.752753
23.969529,19,1496.853522
22.63293,39,1497.085901
24.026996,41,1497.528262
-1.088283,46,1497.760266
23.085402,96,1514.050919
30.233197,13,1514.153678
24.670504,31,1514.333206
26.124076,34,1514.566243
24.160652,52,1514.930074
-94.462868,143,1515.648858
20.265186,80,1516.037088
-23.884123,58,1516.326486
2-42.440579,250,1516.67557-25.798365,250,1517.875102
22.047694,31,1518.050015
27.734123,29,1518.190263
29.296425,30,1518.346286
-25.245697,250,1519.697815
-47.149793,250,1521.060047
-5.005567,85,1521.547137
23.769943,15,1521.629269
-9.493791,86,1522.194143
22.964783,24,1522.354201
29.38052,10,1522.41991
15.694121,37,1522.620544
27.20-27.413728,250,1522.8-64.237081,250,1524.113585
26.014045,21,1524.228408
20.017521,39,1524.511546
26.110677,24,1527.205171
30.620.306265,98,1527.390220.43.617798,93,1543.386278
-10.10104,104,1543.947804
20.262037,79,1544.453093
-88.029761,222,1545.590077
28.094212,17,1545.674372
-31.443424,250,1546.994837
18.475712,107,1547.531459
11.19933,66,1547.900349
-22.862103,68,1548.263683
28.612953,10,1548.308343
28.209092,31,1548.-70.8494-51.994683,250,1549.853939
17.193856,34,1550.06082
29.613496,20,1550.173324
-419.582428,250,1551.690541
-25.791889,191,1552.717587
28.72124,20,1552.844872
22.731888,42,1553.07706
-242.812418,250,1554.434451
26.643196,9,1554.49233
27.680541,5,1554.524113
29.203766,5,1554.553796
21.350606,53,1570.505928
26.134057,13,1570.60624.34-16.133864,70,1571.092744
23.485099,43,1571.4-148.823233,250,1572.728
-5.270657,86,1573.136079
17.399206,125,1573.749712
24.294628,42,1574.026666
25.415995,33,1574.214322
27.951601,21,1574.306067
3.819894,68,1574.655457
22.790335,20,1574.761571
30.639474,18,1574.879975
17.354893,101,1575.3994
26.642944,17,1575.500453
25.89334,35,1575.666781
-58.409788,117,1576.36884
27.258829,25,1576.546089
-23.995112,250,1577.884048
29.304495,27,1578.001987
4.613317,71,1578.347392
27.641744,14,1578.421292-23.834966,250,1578.837004-56.354438,250,1580.070626
16.618252,57,1580.384542
-1.284944,199,1581.430218
27.216018,11,1581.52076
2-28.017768,250,1581.874326.3-28.46528,250,1600.229757
25.521599,42,1600.513937
29.482664,17,1600.627795
25.212512,40,1600.8915
-89.94213,250,1602.387918
23.259036,3-39.845724,250,1603.269414
-41.140569,76-390.383454,250,1604.146042
6.895158,15-27.327812,250,1605.283761
16.384517,150-28.429411,250-296.921136,255.833244,182,1607.572773
-81.177872,250,1609.032748
-0.918104,41,-32.385324,250,1609.508132
29.8224,16,1609.616131
-164.028396,250,1628.930933
25.836369,23,1629.060136
7.19633-162.620035,250,1625.894218,2-215.545615,250,1630.73666
28.099445,33,1630.988113
22.754812,79,1631.52706
28.498626,20,1631.645644
-25.858383,250,1632.950153
-5.592888,50,1633.235167
-24.846643,82,1633.880858
11.746533,77,1634.262971
20.135346,4-214.032796,250,1634.745211
4.697215,136,1635.424917
18.68173,87,1635.852791
28.569845,18,1635.985076
17.317319,32,1636.193496
10.097933,103,1636.800819
19.58277,86,1637.210763
27.986348,6,1637.227639
31.000568,18,1637.34284
18.801361,38,1637.522791
-54.931065,250,1638.932206
28.507389,17,1639.019559
28.599189,18,1639.115176
20.360551,56,1639.429661
11.635845,152,1655.672338
28.393713,17,1655.800407
28.790245,17,1655.915818
24.968884,48,1656.253973
26.850308,27,1656.388082
28.246842,22,1656.525574
1.274282,51,1656.843239
27.875319,13,16-65.415169,250,1657.87787
-9.45830-120.325135,250,1658.905458
25.104509,33,1659.081482
24.840245,20,1659.187174
27.384479,42,13.305756,106-382.579637,250,1661.129516
17.020921,49,1661.423548
22.967175,64,1661.763891
27.505899,33,1661.959119
27.463248,7,1662.005736
26.557907,12,1662.097823
9.464111,81,1662.540721
22.685128,59,1662.882925
17.939145,99,1663.559883
28.770503,32,1663.765586
24.473872,-26.542158,250,116.160108,391.130944,59,16-79.112787,-270.015208,250,1665.721334
25.017999,45,1666.001047
22.061956,42,1666.196924
18.676044,80,1666.627847
7.579359,226,1683.198734
23.121646,101,1683.779965
-0.780732,36,1683.964659
21.345654,30,1684.139571
-22.429661,51,-31.197427,2513.324833,148,125.530228,5023.376623,56,127.603983,43,1685.61139
18.753251,23,1685.78169
-290.281839,250,1687.230412
28.931702,10,-133.923258,250,1687.799777
27.735907-40.846109,250,1688.820079
24.441429,43,168-48.818418,250,1689.58396
18.993978,34,1689.783171
26.964046,34,1689.958935
28.900321,39,1690.188672
21.19236,30,1690.436023
16.708021.798576,67,1690.829.041029.133816,9,1690.9425.435.359394,233,1692.477029
18.352468,35,1692.712575
28.183687,16,1692.800131
-23.638292,250,1694.455043
-12.761687,74,1694.948986
2.770281,145,1715.033037
25.451948,31,1715.161212
25.849576,21,1715.314464
16.297981,98,1715.923583
17.910022,121,1716.61219-13-103.619935,250,1717.953386
8.021833,35,1718.208127
30.846118,16,1718.311757
-149.82956,250,1719.391254
-111.538038,167,1720.312324
23.692285,26,1720.514165
28.499306,8,1720.572248
-71.735217,92,1721.215793
27.929556,7,1721.267759
20.115859,34,1721.47687
-429.713047,250,1722.870254
23.312097,36,1723.115549
