time/total_timesteps,rollout/success_rate,time/fps,curriculum/radius,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length,eval/success_rate
753664,0.78,593,0.50166845,101.62,1270,46,-5.67759963,,,,,,,,,,,,,,
770048,0.73,593,0.50166845,111.86,1298,47,-15.61741371,-0.002433388232566358,7.591104805282687e-05,0.2560204063533433,0.08486328125,16.134419217891992,460,0.7699025869369507,-5.75213381908834,0.4886401295661926,9.847084045410156,0.012273633,,,
786432,0.8,593,0.50166845,101.43,1325,48,-3.9498360800000007,-0.0023031081171211555,7.591104805282687e-05,0.2560204063533433,0.079156494140625,16.12677661329508,470,0.7671817541122437,-5.7454694651067255,0.5367275476455688,9.312509536743164,0.012613187,,,
800000,True,,0.50166845,,,,,-0.002321248143198318,7.591104805282687e-05,0.2560204063533433,0.085430908203125,17.67605823017657,480,0.765598714351654,-5.7326311498880385,0.4753766655921936,12.800092697143555,0.010985056,-8.583510199999997,90.55,0.7
802816,0.72,591,0.50166845,114.97,1357,49,-15.709243199999998,,,,,,,,,,,,,,
819200,0.78,591,0.50166845,99.69,1385,50,-0.5422626200000008,-0.002169886925003084,7.591104805282687e-05,0.2560204063533433,0.092291259765625,14.54787071235478,490,0.7597565054893494,-5.705062564462423,0.5142261981964111,9.221877098083496,0.013466081,,,
835584,0.77,590,0.50166845,98.82,1414,51,-5.3591982699999985,-0.0033503743481560376,7.591104805282687e-05,0.2560204063533433,0.0864501953125,17.448957942426205,500,0.7554284334182739,-5.6696517501026396,0.4821091890335083,6.35721492767334,0.0119633125,,,
850000,True,,0.50166845,,,,,-0.0030097266537268295,7.591104805282687e-05,0.2560204063533433,0.0925537109375,15.828588571771979,510,0.7503706812858582,-5.638622215762735,0.5898657441139221,7.1772003173828125,0.011884642,-20.47542095,145.1,0.45
851968,0.73,589,0.50166845,117.67,1444,52,-12.386471829999998,,,,,,,,,,,,,,
868352,0.82,590,0.50166845,93.76,1471,53,-5.081770840000002,-0.00207750252684491,7.591104805282687e-05,0.2560204063533433,0.080731201171875,16.940430514886977,520,0.746314525604248,-5.604077561199665,0.5338749885559082,12.993010520935059,0.012616793,,,
884736,0.85,590,0.50166845,87.25,1498,54,3.639502120000001,-0.0016829263760882896,7.591104805282687e-05,0.2560204063533433,0.0823486328125,18.28743615821004,530,0.7432323694229126,-5.579056444391608,0.6471662521362305,14.08825969696045,0.012152868,,,
900000,True,,0.50166845,,,,,-0.0036953929408809925,7.591104805282687e-05,0.2560204063533433,0.093511962890625,18.763028002902864,540,0.7352580428123474,-5.541341147571802,0.4964625835418701,12.608519554138184,0.013196306,-3.328626449999999,119.7,0.6
901120,0.9,589,0.50166845,73.92,1527,55,7.679195149999999,,,,,,,,,,,,,,
917504,0.88,590,0.50166845,77.74,1554,56,-10.132172639999999,-0.0022719943695847177,7.591104805282687e-05,0.2560204063533433,0.079205322265625,20.352557009086013,550,0.729170560836792,-5.4920910727232695,0.46149903535842896,7.412574291229248,0.013129249,,,
933888,0.89,590,0.50166845,83.19,1581,57,-0.84113322,-0.0017610594315556228,7.591104805282687e-05,0.2560204063533433,0.085235595703125,20.8616843406111,560,0.7260897159576416,-5.461756965517997,0.6134978532791138,9.100229263305664,0.011742255,,,
950000,True,,0.50166845,,,,,-0.0021607420645523233,7.591104805282687e-05,0.2560204063533433,0.087139892578125,21.114768598601223,570,0.7223721146583557,-5.436348763480782,0.5806746482849121,10.425118446350098,0.012784366,-26.6050909,144.85,0.45
950272,0.84,589,0.50166845,82.45,1613,58,-0.37721044000000004,,,,,,,,,,,,,,
966656,0.85,589,0.50166845,78.9,1639,59,-2.2288244599999993,-0.0018734534343820997,7.591104805282687e-05,0.2560204063533433,0.081439208984375,20.65615378804505,580,0.7167871594429016,-5.399653542414308,0.5904558897018433,8.291918754577637,0.011990193,,,
983040,0.92,589,0.50166845,69.15,1667,60,5.26582961,-0.002053332141440478,7.591104805282687e-05,0.2560204063533433,0.091448974609375,21.651886381953954,590,0.7103229761123657,-5.3524129901081325,0.628460168838501,14.365527153015137,0.015037017,,,
999424,0.84,589,0.50166845,80.62,1695,61,3.74800222,-0.0024148240363501827,7.591104805282687e-05,0.2560204063533433,0.090545654296875,23.316119465976954,600,0.7076411843299866,-5.320785500109196,0.5561094284057617,10.679390907287598,0.012083852,,,
1000000,True,,0.50166845,,,,,-0.0022834610373138275,7.591104805282687e-05,0.2560204063533433,0.09766845703125,18.298996280878782,610,0.704358696937561,-5.300238933041692,0.6358951330184937,11.785018920898438,0.011859473,10.7764636,92.7,0.7
1015808,0.89,588,0.50166845,73.42,1725,62,-8.793721750000001,,,,,,,,,,,,,,
